Individual ID,Population,Super population,Population Details,Super population Details
HG00096,GBR,EUR,British,European
HG00097,GBR,EUR,British,European
HG00099,GBR,EUR,British,European
HG00100,GBR,EUR,British,European
HG00101,GBR,EUR,British,European
HG00102,GBR,EUR,British,European
HG00103,GBR,EUR,British,European
HG00105,GBR,EUR,British,European
HG00106,GBR,EUR,British,European
HG00107,GBR,EUR,British,European
HG00108,GBR,EUR,British,European
HG00109,GBR,EUR,British,European
HG00110,GBR,EUR,British,European
HG00111,GBR,EUR,British,European
HG00112,GBR,EUR,British,European
HG00113,GBR,EUR,British,European
HG00114,GBR,EUR,British,European
HG00115,GBR,EUR,British,European
HG00116,GBR,EUR,British,European
HG00117,GBR,EUR,British,European
HG00118,GBR,EUR,British,European
HG00119,GBR,EUR,British,European
HG00120,GBR,EUR,British,European
HG00121,GBR,EUR,British,European
HG00122,GBR,EUR,British,European
HG00123,GBR,EUR,British,European
HG00125,GBR,EUR,British,European
HG00126,GBR,EUR,British,European
HG00127,GBR,EUR,British,European
HG00128,GBR,EUR,British,European
HG00129,GBR,EUR,British,European
HG00130,GBR,EUR,British,European
HG00131,GBR,EUR,British,European
HG00132,GBR,EUR,British,European
HG00133,GBR,EUR,British,European
HG00136,GBR,EUR,British,European
HG00137,GBR,EUR,British,European
HG00138,GBR,EUR,British,European
HG00139,GBR,EUR,British,European
HG00140,GBR,EUR,British,European
HG00141,GBR,EUR,British,European
HG00142,GBR,EUR,British,European
HG00143,GBR,EUR,British,European
HG00145,GBR,EUR,British,European
HG00146,GBR,EUR,British,European
HG00148,GBR,EUR,British,European
HG00149,GBR,EUR,British,European
HG00150,GBR,EUR,British,European
HG00151,GBR,EUR,British,European
HG00154,GBR,EUR,British,European
HG00155,GBR,EUR,British,European
HG00157,GBR,EUR,British,European
HG00158,GBR,EUR,British,European
HG00159,GBR,EUR,British,European
HG00160,GBR,EUR,British,European
HG00171,FIN,EUR,Finnish,European
HG00173,FIN,EUR,Finnish,European
HG00174,FIN,EUR,Finnish,European
HG00176,FIN,EUR,Finnish,European
HG00177,FIN,EUR,Finnish,European
HG00178,FIN,EUR,Finnish,European
HG00179,FIN,EUR,Finnish,European
HG00180,FIN,EUR,Finnish,European
HG00181,FIN,EUR,Finnish,European
HG00182,FIN,EUR,Finnish,European
HG00183,FIN,EUR,Finnish,European
HG00185,FIN,EUR,Finnish,European
HG00186,FIN,EUR,Finnish,European
HG00187,FIN,EUR,Finnish,European
HG00188,FIN,EUR,Finnish,European
HG00189,FIN,EUR,Finnish,European
HG00190,FIN,EUR,Finnish,European
HG00231,GBR,EUR,British,European
HG00232,GBR,EUR,British,European
HG00233,GBR,EUR,British,European
HG00234,GBR,EUR,British,European
HG00235,GBR,EUR,British,European
HG00236,GBR,EUR,British,European
HG00237,GBR,EUR,British,European
HG00238,GBR,EUR,British,European
HG00239,GBR,EUR,British,European
HG00240,GBR,EUR,British,European
HG00242,GBR,EUR,British,European
HG00243,GBR,EUR,British,European
HG00244,GBR,EUR,British,European
HG00245,GBR,EUR,British,European
HG00246,GBR,EUR,British,European
HG00250,GBR,EUR,British,European
HG00251,GBR,EUR,British,European
HG00252,GBR,EUR,British,European
HG00253,GBR,EUR,British,European
HG00254,GBR,EUR,British,European
HG00255,GBR,EUR,British,European
HG00256,GBR,EUR,British,European
HG00257,GBR,EUR,British,European
HG00258,GBR,EUR,British,European
HG00259,GBR,EUR,British,European
HG00260,GBR,EUR,British,European
HG00261,GBR,EUR,British,European
HG00262,GBR,EUR,British,European
HG00263,GBR,EUR,British,European
HG00264,GBR,EUR,British,European
HG00265,GBR,EUR,British,European
HG00266,FIN,EUR,Finnish,European
HG00267,FIN,EUR,Finnish,European
HG00268,FIN,EUR,Finnish,European
HG00269,FIN,EUR,Finnish,European
HG00271,FIN,EUR,Finnish,European
HG00272,FIN,EUR,Finnish,European
HG00273,FIN,EUR,Finnish,European
HG00274,FIN,EUR,Finnish,European
HG00275,FIN,EUR,Finnish,European
HG00276,FIN,EUR,Finnish,European
HG00277,FIN,EUR,Finnish,European
HG00278,FIN,EUR,Finnish,European
HG00280,FIN,EUR,Finnish,European
HG00281,FIN,EUR,Finnish,European
HG00282,FIN,EUR,Finnish,European
HG00284,FIN,EUR,Finnish,European
HG00285,FIN,EUR,Finnish,European
HG00288,FIN,EUR,Finnish,European
HG00290,FIN,EUR,Finnish,European
HG00304,FIN,EUR,Finnish,European
HG00306,FIN,EUR,Finnish,European
HG00308,FIN,EUR,Finnish,European
HG00309,FIN,EUR,Finnish,European
HG00310,FIN,EUR,Finnish,European
HG00311,FIN,EUR,Finnish,European
HG00313,FIN,EUR,Finnish,European
HG00315,FIN,EUR,Finnish,European
HG00318,FIN,EUR,Finnish,European
HG00319,FIN,EUR,Finnish,European
HG00320,FIN,EUR,Finnish,European
HG00321,FIN,EUR,Finnish,European
HG00323,FIN,EUR,Finnish,European
HG00324,FIN,EUR,Finnish,European
HG00325,FIN,EUR,Finnish,European
HG00326,FIN,EUR,Finnish,European
HG00327,FIN,EUR,Finnish,European
HG00328,FIN,EUR,Finnish,European
HG00329,FIN,EUR,Finnish,European
HG00330,FIN,EUR,Finnish,European
HG00331,FIN,EUR,Finnish,European
HG00332,FIN,EUR,Finnish,European
HG00334,FIN,EUR,Finnish,European
HG00335,FIN,EUR,Finnish,European
HG00336,FIN,EUR,Finnish,European
HG00337,FIN,EUR,Finnish,European
HG00338,FIN,EUR,Finnish,European
HG00339,FIN,EUR,Finnish,European
HG00341,FIN,EUR,Finnish,European
HG00342,FIN,EUR,Finnish,European
HG00343,FIN,EUR,Finnish,European
HG00344,FIN,EUR,Finnish,European
HG00345,FIN,EUR,Finnish,European
HG00346,FIN,EUR,Finnish,European
HG00349,FIN,EUR,Finnish,European
HG00350,FIN,EUR,Finnish,European
